book,file,verse
armaghan-e-hijaz,01.json,یہ عناصر کا پرانا کھیل، یہ دنیائے دوں ساکنان عرش اعظم کی تمناوں کا خوں!
armaghan-e-hijaz,01.json,اس کی بربادی پہ آج آمادہ ہے وہ کارساز جس نے اس کا نام رکھا تھا جہان کاف و نوں
armaghan-e-hijaz,01.json,میں نے دکھلیا فرنگی کو ملوکیت کا خواب میں نے توڑا مسجد و دیر و کلیسا کا فسوں
armaghan-e-hijaz,01.json,میں نے ناداروں کو سکھلیا سبق تقدیر کا میں نے منعم کو دیا سرمایہ داری کا جنوں
armaghan-e-hijaz,01.json,کون کر سکتا ہے اس کی آتش سوزاں کو سرد جس کے ہنگاموں میں ہو ابلیس کا سوز دروں
armaghan-e-hijaz,01.json,جس کی شاخیں ہوں ہماری آبیاری سے بلند کون کر سکتا ہے اس نخل کہن کو سرنگوں!
armaghan-e-hijaz,01.json,اس میں کیا شک ہے کہ محکم ہے یہ ابلیسی نظام پختہ تر اس سے ہوئے خوئے غلمی میں عوام
armaghan-e-hijaz,01.json,ہے ازل سے ان غریبوں کے مقدر میں سجود ان کی فطرت کا تقاضا ہے نماز بے قیام
armaghan-e-hijaz,01.json,آرزو اول تو پیدا ہو نہیں سکتی کہیں ہو کہیں پیدا تو مر جاتی ہے یا رہتی ہے خام
armaghan-e-hijaz,01.json,یہ ہماری سعی پیہم کی کرامت ہے کہ آج صوفی و مل ملوکیت کے بندے ہیں تمام
armaghan-e-hijaz,01.json,طبع مشرق کے لیے موزوں یہی افیون تھی ورنہ قوالی سے کچھ کم تر نہیں علم کلم!
armaghan-e-hijaz,01.json,ہے طواف و حج کا ہنگامہ اگر باقی تو کیا کند ہو کر رہ گئی مومن کی تیغ بے نیام
armaghan-e-hijaz,01.json,کس کی نومیدی پہ حجت ہے یہ فرمان جدید؟ ہے جہاد اس دور میں مرد مسلماں پر حرام!
armaghan-e-hijaz,01.json,خیر ہے سلطانی جمہور کا غوغا کہ شر تو جہاں کے تازہ فتنوں سے نہیں ہے با خبر!
armaghan-e-hijaz,01.json,ہوں، مگر میری جہاں بینی بتاتی ہے مجھے جو ملوکیت کا اک پردہ ہو، کیا اس سے خطر!
armaghan-e-hijaz,01.json,ہم نے خود شاہی کو پہنایا ہے جمہوری لباس جب ذرا آدم ہوا ہے خود شناس و خود نگر
armaghan-e-hijaz,01.json,کاروبار شہریاری کی حقیقت اور ہے یہ وجود میر و سلطاں پر نہیں ہے منحصر
armaghan-e-hijaz,01.json,مجلس ملت ہو یا پرویز کا دربار ہو ہے وہ سلطاں، غیر کی کھیتی پہ ہو جس کی نظر
armaghan-e-hijaz,01.json,تو نے کیا دیکھا نہیں مغرب کا جمہوری نظام چہرہ روشن، اندروں چنگیز سے تاریک تر!
armaghan-e-hijaz,01.json,روح سلطانی رہے باقی تو پھر کیا اضطراب ہے مگر کیا اس یہودی کی شرارت کا جواب؟
armaghan-e-hijaz,01.json,وہ کلیم بے تجلی، وہ مسیح بے صلیب نیست پیغمبر و لیکن در بغل دارد کتاب
armaghan-e-hijaz,01.json,کیا بتاوں کیا ہے کافر کی نگاہ پردہ سوز مشرق و مغرب کی قوموں کے لیے روز حساب!
armaghan-e-hijaz,01.json,اس سے بڑھ کر اور کیا ہوگا طبیعت کا فساد توڑ دی بندوں نے آقاوں کے خیموں کی طناب!
armaghan-e-hijaz,01.json,توڑ اس کا رومہ الکبرے کے ایوانوں میں دیکھ آل سیزر کو دکھایا ہم نے پھر سیزر کا خواب
armaghan-e-hijaz,01.json,کون بحر روم کی موجوں سے ہے لپٹا ہوا گاہ بالد چوں صنوبر، گاہ نالد چوں رباب،
